Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Corporate loan,Banco do Estado do Rio Grande do Sul (Banrisul),Brazil,South America,2018,56.39,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,ABN Amro,Netherlands,EU27,2016,56.25,COFCO,Soy,Nidera Sementes,Latin America
Corporate loan,ING Group,Netherlands,EU27,2016,56.25,COFCO,Soy,Nidera Sementes,Latin America
Corporate loan,ABN Amro,Netherlands,EU27,2016,56.25,COFCO,Soy,Nidera Sementes,Latin America
Corporate loan,ING Group,Netherlands,EU27,2016,56.25,COFCO,Soy,Nidera Sementes,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2014,56.02,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Bond issuance,Mitsubishi UFJ Financial,Japan,East Asia,2014,56.02,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Bond issuance,Santander,Spain,EU27,2014,56.02,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Bond issuance,Santander,Spain,EU27,2017,56.02,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Bond issuance,Bank of America,United States,North America,2017,56.02,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2017,56.02,CMPC,Pulp & paper,Inversiones CMPC,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2013,55.87,Oji Group,Pulp & paper,Oji Holdings,Latin America
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2015,55.68,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara IV,Southeast Asia
Corporate loan,John Deere Bank,United States,North America,2017,55.67,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Bondholding,Pensioenfonds Zorg en Welzijn (PFZW),Netherlands,EU27,2021,55.59,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2016,55.58,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara XIII,Southeast Asia
Shareholding,JPMorgan Chase,United States,North America,2021,55.46,Itochu,Pulp & paper,Itochu,Southeast Asia
Shareholding,JPMorgan Chase,United States,North America,2021,55.46,Itochu,Rubber,Itochu,Southeast Asia
Shareholding,JPMorgan Chase,United States,North America,2021,55.46,Itochu,Timber,Itochu,Southeast Asia
Shareholding,Nokia Bell Pensioenfonds,Belgium,EU27,2021,55.45,MP Evans,Palm oil,MP Evans,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2017,55.41,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,55.39,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Revolving credit facility,Agricultural Bank of China,China,East Asia,2016,55.33,COFCO,Soy,COFCO Agri,Latin America
Corporate loan,AmBank Group,Malaysia,Southeast Asia,2014,55.17,Sarawak Plantation Group,Palm oil,Sarawak Plantation Agriculture Development,Southeast Asia
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2016,55.13,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2019,55.09,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2019,55.09,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2019,55.09,Marubeni,Timber,Marubeni,Southeast Asia
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2019,55.09,Marubeni,Timber,Marubeni,Southeast Asia
Shareholding,BlackRock,United States,North America,2021,55.04,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Share issuance,BTG Pactual,Brazil,South America,2020,55,Prima Foods,Beef,Prima Foods,Latin America
Share issuance,Santander,Spain,EU27,2020,55,Prima Foods,Beef,Prima Foods,Latin America
Share issuance,Bradesco,Brazil,South America,2020,55,Prima Foods,Beef,Prima Foods,Latin America
Corporate loan,Indonesia Eximbank,Indonesia,Southeast Asia,2015,55,Tanjung Lingga Group,Palm oil,Mitra Mendawai Sejati,Southeast Asia
Revolving credit facility,Indonesia Eximbank,Indonesia,Southeast Asia,2015,55,Tanjung Lingga Group,Palm oil,Sawit Sumbermas Sarana,Southeast Asia
Revolving credit facility,Industrial and Commercial Bank of China,China,East Asia,2015,55,Royal Golden Eagle Group,Pulp & paper,Heliosity Consulting,Southeast Asia
Revolving credit facility,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2016,55,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,China Merchants Group,China,East Asia,2020,55,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2013,54.98,Rajawali Group,Palm oil,BW Plantation,Southeast Asia
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,54.9,IJM Group,Palm oil,IJM Plantations,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2018,54.89,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2016,54.81,Gozco Group,Palm oil,Suryabumi Agrolanggeng,Southeast Asia
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2017,54.55,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2017,54.55,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2017,54.55,Marubeni,Timber,Marubeni,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2017,54.55,Marubeni,Timber,Marubeni,Southeast Asia
Shareholding,Morgan Stanley,United States,North America,2021,54.44,Minerva,Beef,Minerva,Latin America
Shareholding,Standard Chartered,United Kingdom,Europe other,2021,54.36,IOI Group,Palm oil,IOI Corporation,Southeast Asia
Corporate loan,Itaú Unibanco,Brazil,South America,2018,54.23,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2018,54.22,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,Banco Bilbao Vizcaya Argentaria (BBVA),Spain,EU27,2021,54.08,CMPC,Pulp & paper,CMPC,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,54.07,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Revolving credit facility,ING Group,Netherlands,EU27,2015,54,RCMA Group,Rubber,Tong Teik,Southeast Asia
Corporate loan,Itaú Unibanco,Brazil,South America,2013,53.9,Cargill,Soy,Cargill Agricola,Latin America
Corporate loan,Bradesco,Brazil,South America,2016,53.89,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Bank of China,China,East Asia,2018,53.5,ZTE,Palm oil,ZTE,Southeast Asia
Corporate loan,China Development Bank,China,East Asia,2018,53.5,ZTE,Palm oil,ZTE,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2014,53.43,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Corporate loan,BNP Paribas,France,EU27,2014,53.3,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Bradesco,Brazil,South America,2019,53.18,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,53.01,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Bond issuance,CIMB Group,Malaysia,Southeast Asia,2016,52.92,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
Bond issuance,Malayan Banking,Malaysia,Southeast Asia,2016,52.92,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
Corporate loan,Itaú Unibanco,Brazil,South America,2014,52.84,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,DBS,Singapore,Southeast Asia,2016,52.77,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Bond issuance,DBS,Singapore,Southeast Asia,2014,52.68,Sinochem Group,Rubber,Halcyon Agri,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,52.64,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Espírito Santo,Latin America
Corporate loan,Bank DKI,Indonesia,Southeast Asia,2017,52.6,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Credit Suisse,Switzerland,Europe other,2014,52.56,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Corporate loan,DBS,Singapore,Southeast Asia,2014,52.56,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Corporate loan,Credit Suisse,Switzerland,Europe other,2014,52.56,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Corporate loan,DBS,Singapore,Southeast Asia,2014,52.56,Sinochem Group,Rubber,Halcyon Rubber,Central & West Africa
Corporate loan,DBS,Singapore,Southeast Asia,2017,52.47,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,SMBC Group,Japan,East Asia,2016,52.45,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,SMBC Group,Japan,East Asia,2016,52.45,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Shareholding,Sampoerna Agri Resources,Singapore,Southeast Asia,2021,52.43,Sampoerna Group,Rubber,Sampoerna Agro,Southeast Asia
Bond issuance,DBS,Singapore,Southeast Asia,2014,52.31,Sinochem Group,Rubber,Halcyon Agri,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2015,52.3,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Shareholding,Bank of New York Mellon,United States,North America,2021,52.29,Klabin,Pulp & paper,Klabin,Latin America
Corporate loan,Bank of China,China,East Asia,2013,52.26,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,China Development Bank,China,East Asia,2013,52.26,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Bond issuance,BTG Pactual,Brazil,South America,2017,52.11,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Bank of America,United States,North America,2017,52.11,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2017,52.11,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2017,52.11,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2017,52.11,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,XP Investimentos,Brazil,South America,2017,52.11,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,BTG Pactual,Brazil,South America,2017,52.11,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Bank of America,United States,North America,2017,52.11,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2017,52.11,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2017,52.11,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2017,52.11,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,XP Investimentos,Brazil,South America,2017,52.11,Minerva,Soy,Minerva Luxembourg,Latin America
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2013,52.09,CMPC,Pulp & paper,CMPC Celulose Riograndense,Latin America
Corporate loan,Bradesco,Brazil,South America,2017,51.93,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2018,51.91,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Pernambuco,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2019,51.78,Oji Group,Pulp & paper,Oji Holdings,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,51.72,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Espírito Santo,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2019,51.7,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2014,51.66,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara IV,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2013,51.58,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Cathay Financial,Taiwan,East Asia,2013,51.58,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,China Development Bank,China,East Asia,2013,51.58,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2013,51.58,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Ping An Insurance Group,China,East Asia,2013,51.58,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Taiwan Cooperative Financial,Taiwan,East Asia,2013,51.58,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,51.47,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2013,51.44,Sampoerna Group,Palm oil,Sungai Rangit,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2014,51.41,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,51.3,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Rio Grande do Norte,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2016,51.04,Oji Group,Pulp & paper,Oji Holdings,Latin America
Shareholding,Vinci Partners,Brazil,South America,2021,51.02,Suzano,Pulp & paper,Suzano,Latin America
Shareholding,Santander,Spain,EU27,2021,50.98,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2016,50.89,Sungai Budi Group,Palm oil,Tunas Baru Lampung,Southeast Asia
Corporate loan,Itaú Unibanco,Brazil,South America,2016,50.88,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Opportunity Asset Management,Brazil,South America,2021,50.87,Marfrig,Beef,Marfrig Global Foods,Latin America
Shareholding,Permodalan Nasional Berhad,Malaysia,Southeast Asia,2021,50.87,Sime Darby,Beef,Sime Darby Plantations,Southeast Asia
Corporate loan,Caixa Econômica Federal,Brazil,South America,2018,50.81,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Shareholding,Prudential (UK),United Kingdom,Europe other,2021,50.79,Sime Darby,Palm oil,Sime Darby Plantations,Southeast Asia
Corporate loan,Santander,Spain,EU27,2017,50.67,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,50.52,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,Sicredi,Brazil,South America,2017,50.49,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Bradesco,Brazil,South America,2015,50.49,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2015,50.36,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2015,50.36,Marubeni,Pulp & paper,Marubeni,Southeast Asia
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2015,50.36,Marubeni,Timber,Marubeni,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2015,50.36,Marubeni,Timber,Marubeni,Southeast Asia
Shareholding,Grupo Aval,Colombia,South America,2021,50.27,Grupo Nutresa ,Beef,Grupo Nutresa ,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2017,50.16,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Bank of China,China,East Asia,2013,50.06,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,China Development Bank,China,East Asia,2013,50.06,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,50.05,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Central & West Africa
Corporate loan,BNP Paribas,France,EU27,2014,50.03,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,KfW,Germany,EU27,2020,50,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2014,50,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
